success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,technical_issues,response,stimulus,timeout,failed_images,failed_audio,failed_video,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name
NA,null,html-keyboard-response,18,2.0.0,41495,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,19,2.0.0,44500,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n16bhammer.jpg,NA,NA,NA,NA,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,20,2.0.0,45502,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,21,2.0.0,48507,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Egame2.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,22,2.0.0,49510,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,23,2.0.0,52514,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbabytoy2.JPG,NA,NA,NA,NA,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,24,2.0.0,53517,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,25,2.0.0,56521,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebasket1.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,26,2.0.0,57524,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,image-keyboard-response,27,2.0.0,60528,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Eglobe2.jpg,NA,NA,NA,NA,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
NA,null,html-keyboard-response,28,2.0.0,61531,p0njrbtzmo2,wolf,No,null,"<div style=""font-size:60px; color:black;"">+</div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv
