"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","technical_issues","response","stimulus","timeout","failed_images","failed_audio","failed_video","trial_phase","is_repeat","test_type","correct","old_image","new_image","correct_position"
"true","61076","fullscreen","0","null","62079","p2x33rxsjjl","goldfish","No. ","","","","","","","","","","","","",""
"","4309","survey-text","1","2.0.0","66393","p2x33rxsjjl","goldfish","No. ","{""participant_id"":""goldfish""}","","","","","","","","","","","",""
"","74113","html-keyboard-response","2","2.0.0","140508","p2x33rxsjjl","goldfish","No. "," ","
      <p>In this experiment, a series of objects will be displayed.</p>
      <p>Try to memorize as much as possible about the objects.</p>
      <p>If the image is a <strong> repeat</strong>, press the SPACEBAR.</p>
      <p>Press any key to begin.</p>
    ","","","","","","","","","","",""
"true","","preload","3","2.0.0","141931","p2x33rxsjjl","goldfish","No. ","","","false","[]","[]","[]","","","","","","",""
"","null","html-keyboard-response","4","2.0.0","142933","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","5","2.0.0","145939","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/EXEMPLAR/USED/Ebracelet1.jpg","","","","","memory","false","exemplar","true","","",""
"","null","html-keyboard-response","6","2.0.0","146942","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","7","2.0.0","149947","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sapplesgreenbasket2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","8","2.0.0","150950","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","9","2.0.0","153953","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/Novel pairs (tested)/n19apickle.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","10","2.0.0","154957","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","11","2.0.0","157961","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sfiretrucktoy1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","12","2.0.0","158964","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","13","2.0.0","161968","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sjuiceglass1.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","14","2.0.0","162971","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","15","2.0.0","165975","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/Novel pairs (tested)/n02aaxe.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","16","2.0.0","166978","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","17","2.0.0","169982","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sgiftbag1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","18","2.0.0","170986","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","19","2.0.0","173990","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sbox2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","20","2.0.0","174992","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","21","2.0.0","177996","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sdie1.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","22","2.0.0","178997","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","23","2.0.0","182001","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sdryer2.jpg","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","24","2.0.0","183004","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","25","2.0.0","186006","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/Novel pairs (tested)/n08bpaperclip.jpg","","","","","memory","false","novel","true","","",""
"","null","html-keyboard-response","26","2.0.0","187008","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","27","2.0.0","190012","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/STATE/USED/Sbooks2.JPG","","","","","memory","false","state","true","","",""
"","null","html-keyboard-response","28","2.0.0","191015","p2x33rxsjjl","goldfish","No. ","null","<div style=""font-size:60px; color:black;"">+</div>","","","","","","","","","","",""
"","null","image-keyboard-response","29","2.0.0","194018","p2x33rxsjjl","goldfish","No. ","null","stimuli/organized/Novel pairs (tested)/n05bcactus.jpg","","","","","memory","false","novel","true","","",""
